Importers	Exported value in 2021-M02	Exported value in 2021-M03	Exported value in 2021-M04	Exported value in 2021-M05	Exported value in 2021-M06	Exported value in 2021-M07	Exported value in 2021-M08	Exported value in 2021-M09	Exported value in 2021-M10	Exported value in 2021-M11	Exported value in 2021-M12	Exported value in 2022-M01	Exported value in 2022-M02	Exported value in 2022-M03	Exported value in 2022-M04	Exported value in 2022-M05	Exported value in 2022-M06	Exported value in 2022-M07	Exported value in 2022-M08	Exported value in 2022-M09	
"Macao, China"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lebanon"	262	94	25	203	30	0	0	0	105	136	0	162	0	0	0	0	43	0	0	0	
"Mauritania"	0	7	0	0	0	0	1	0	18	0	0	0	0	15	13	7	5	0	0	0	
"Mauritius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
"Mexico"	0	17	0	9	0	0	0	22	0	13	0	0	27	0	23	32	40	84	0	0	
"Maldives"	0	0	4	115	0	0	6	11	3	7	6	0	6	0	0	0	3	11	0	0	
"Moldova, Republic of"	0	0	0	0	0	0	0	0	0	0	0	228	0	117	0	0	0	0	0	0	
"Eritrea"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
"Georgia"	0	0	0	113	0	0	189	284	0	95	0	0	0	0	0	0	0	0	172	0	
"Cuba"	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Comoros"	0	0	0	0	0	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	
"Congo"	2	0	0	0	0	0	0	0	0	0	5	0	0	10	0	6	0	0	7	0	
"Benin"	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	5	0	0	60	0	
"Dominican Republic"	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	
"Azerbaijan"	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
"Argentina"	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
"Australia"	0	0	343	0	0	38	0	0	0	0	0	0	49	0	0	0	194	145	0	0	
"Bangladesh"	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Afghanistan"	0	13	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Algeria"	0	96	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Cabo Verde"	0	0	0	88	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	
"Central African Republic"	0	0	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	
"Chad"	5	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	
"Cameroon"	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	3	0	0	
"Mozambique"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	
"Oman"	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	
"Nigeria"	0	0	2	70	0	0	1	41	1	42	131	11	0	13	49	15	143	0	2	0	
"Sint Maarten (Dutch part)"	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	
"Panama"	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	
"Philippines"	0	0	0	0	0	0	0	0	0	0	0	106	0	94	0	157	1545	0	0	0	
"Qatar"	92	0	0	0	102	0	0	0	0	0	0	109	0	315	0	0	20	0	0	0	
"Serbia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Somalia"	1	4	5	2	2	1	0	1	0	0	0	23	0	0	0	2	0	0	24	0	
"South Africa"	0	0	0	0	0	0	0	0	0	7	58	0	0	0	0	0	0	0	0	0	
"Viet Nam"	0	4	0	0	0	0	11	0	0	0	0	9	0	6	7	3	0	0	0	0	
"Türkiye"	413	375	0	0	183	195	11	196	5	396	0	9	0	254	0	161	241	0	164	0	
"Uganda"	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
"Ukraine"	0	0	0	0	0	234	1562	966	811	346	14	0	0	0	0	0	0	0	0	0	
"Macedonia, North"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	
"Egypt"	169	177	193	0	96	0	103	0	0	0	2102	274	552	0	0	0	122	0	0	0	
"Togo"	0	0	0	16	0	0	0	0	0	0	12	0	0	0	0	3	6	0	0	0	
"Tokelau"	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	
"Special categories"	8	86	76	4	4	13	11	30	39	44	25	0	0	0	0	0	0	0	0	0	
"Burkina Faso"	0	0	0	0	4	3	11	2	0	0	0	0	24	0	0	0	0	0	0	0	
"Uzbekistan"	0	79	0	96	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	
