Importers	Exported value in 2017-M12	Exported value in 2018-M01	Exported value in 2018-M02	Exported value in 2018-M03	Exported value in 2018-M04	Exported value in 2018-M05	Exported value in 2018-M06	Exported value in 2018-M07	Exported value in 2018-M08	Exported value in 2018-M09	Exported value in 2018-M10	Exported value in 2018-M11	Exported value in 2018-M12	Exported value in 2019-M01	Exported value in 2019-M02	Exported value in 2019-M03	Exported value in 2019-M04	Exported value in 2019-M05	Exported value in 2019-M06	Exported value in 2019-M07	
"Oman"	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	
"Mauritania"	13	13	0	18	0	43	17	0	13	0	0	7	0	14	0	0	26	0	0	0	
"Mauritius"	0	0	0	0	90	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	
"Kuwait"	0	113	114	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lao People's Democratic Republic"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
"Luxembourg"	11	0	0	0	0	3	1	1	0	0	70	62	0	55	1	2	0	3	0	0	
"Sint Maarten (Dutch part)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"New Zealand"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Niger"	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	
"Nigeria"	5	0	13	9	0	5	0	3	4	0	5	14	1	10	0	0	0	0	3	0	
"Norway"	11	0	97	25	117	349	0	0	174	86	0	0	0	0	0	0	3	0	10	0	
"Panama"	0	4	1	4	11	0	0	7	0	0	0	0	14	0	0	0	0	0	0	0	
"Qatar"	0	0	0	0	105	0	0	0	0	2	156	1	2	2	3	3	1	93	1	0	
"Rwanda"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
"Saint Helena"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Saudi Arabia"	145	114	108	271	167	163	10	66	283	197	159	114	226	0	117	117	368	126	123	0	
"Senegal"	0	0	0	0	0	0	0	0	0	0	0	14	0	18	0	0	0	18	0	0	
"Serbia"	106	0	0	188	0	1	0	122	0	118	99	1	2	0	0	0	0	0	0	0	
"Sudan"	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	
"South Africa"	0	89	0	116	0	0	0	0	0	8	92	0	0	79	32	0	0	0	0	0	
"Uganda"	0	0	6	0	0	0	0	0	0	7	0	0	0	21	0	0	0	0	0	0	
"Ukraine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
"Macedonia, North"	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	
"Egypt"	0	0	124	0	0	0	82	0	124	0	41	169	0	42	85	264	0	178	0	0	
"Switzerland"	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	
"Thailand"	127	63	0	171	107	107	107	208	99	0	0	102	0	0	0	0	0	0	0	0	
"Tunisia"	0	0	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Special categories"	0	20	10	3	13	9	7	8	10	4	8	14	8	0	0	0	0	0	0	0	
"United States of America"	0	0	0	10	118	21	0	21	0	0	0	0	122	358	2035	202	191	122	0	0	
