Importers	Exported value in 2013-M03	Exported value in 2013-M04	Exported value in 2013-M05	Exported value in 2013-M06	Exported value in 2013-M07	Exported value in 2013-M08	Exported value in 2013-M09	Exported value in 2013-M10	Exported value in 2013-M11	Exported value in 2013-M12	Exported value in 2014-M01	Exported value in 2014-M02	Exported value in 2014-M03	Exported value in 2014-M04	Exported value in 2014-M05	Exported value in 2014-M06	Exported value in 2014-M07	Exported value in 2014-M08	Exported value in 2014-M09	Exported value in 2014-M10	
"Sweden"	0	4	450	213	273	498	543	604	574	248	386	250	203	236	268	230	168	276	226	220	
"Ship stores and bunkers"	4	70	234	261	292	308	134	82	28	5	11	0	0	45	264	261	307	242	280	207	
"Austria"	48	74	7	260	133	311	672	266	542	326	177	311	431	224	267	497	98	280	194	180	
"Poland"	5	82	254	164	627	139	708	643	612	121	442	1518	2897	1108	378	82	160	0	72	96	
"Saudi Arabia"	97	187	16	63	112	137	9	7	6	0	230	109	214	102	18	202	203	162	86	90	
"Morocco"	332	0	817	78	0	84	0	0	0	0	0	444	719	1702	240	1260	1027	0	777	78	
"Cabo Verde"	0	0	80	0	0	0	90	0	0	0	0	88	0	0	87	0	85	0	0	75	
"Switzerland"	0	0	0	0	0	0	0	0	0	10	0	0	81	0	2	0	0	0	0	63	
"Lithuania"	70	87	0	0	87	0	95	17	0	91	17	17	0	0	3	3	12	18	15	47	
"China"	68	139	0	0	0	39	195	0	28	0	80	0	188	68	626	337	135	537	212	43	
"Malaysia"	34	43	3	19	0	24	4	20	0	0	97	6	37	36	70	33	3	42	36	41	
"Aruba"	50	91	6	6	6	10	6	17	13	35	3	8	6	15	51	2	10	27	13	39	
"Bulgaria"	0	2	0	0	0	0	11	10	23	0	5	0	86	11	6	11	22	0	74	26	
"Special categories"	601	208	66	46	1056	743	1060	1465	870	253	8	13	10	7	24	9	55	16	21	18	
"Chad"	2	6	6	8	0	0	0	4	3	0	0	21	0	5	0	0	10	0	0	16	
"Malta"	0	5	0	0	23	4	0	0	21	0	5	0	0	3	2	5	0	15	0	15	
"Portugal"	4	6	6	2	6	11	1	2	5	2	2	4	2	5	4	5	16	21	2	15	
"Equatorial Guinea"	0	0	10	15	52	0	3	6	37	17	37	34	27	0	30	7	3	40	0	14	
"Korea, Republic of"	0	0	87	0	0	0	0	0	0	0	11	44	11	7	15	2	3	21	4	11	
"Liberia"	7	0	5	15	8	0	0	5	5	0	4	0	0	0	0	0	4	0	0	10	
"Ghana"	22	0	0	0	4	3	0	0	0	0	0	0	4	0	0	0	12	0	0	9	
"Cameroon"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	
"Central African Republic"	0	0	0	0	0	0	0	0	0	0	0	0	6	26	19	2	0	1	2	7	
"Haiti"	0	1	2	0	3	0	2	12	0	8	2	1	0	2	5	4	0	3	2	5	
"Uganda"	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	5	
"Japan"	0	0	0	0	0	0	332	219	0	0	0	0	186	1441	0	0	5018	1695	0	4	
"Iraq"	92	2	6	0	3	0	0	0	95	1	4	0	5	23	0	66	0	0	3	3	
"Ireland"	0	0	0	1	564	316	466	1	0	0	0	2	333	0	0	1	2	3	1	3	
"Mauritania"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	
"Ethiopia"	0	0	0	3	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	
"Estonia"	0	0	0	0	0	0	2	0	0	2	0	2	0	0	2	0	0	0	0	3	
"Angola"	0	19	10	46	2	0	7	26	3	18	1	1	0	0	5	0	0	5	9	3	
"South Africa"	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	
"Cambodia"	0	1	5	0	0	0	0	0	0	0	0	10	9	2	0	0	5	0	1	2	
"Côte d'Ivoire"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	
"Bonaire, Sint Eustatius and Saba"	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	1	
"New Zealand"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Niger"	0	0	1	0	24	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	
"Nigeria"	0	8	6	12	0	2	0	30	2	3	2	9	2	12	0	20	5	0	0	0	
"Norway"	0	0	0	0	0	0	2	0	0	0	24	0	1	0	0	0	0	0	3	0	
"Philippines"	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Qatar"	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Sint Maarten (Dutch part)"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	
"Serbia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Seychelles"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Sierra Leone"	0	3	0	9	6	8	3	6	0	0	5	0	1	25	5	11	0	0	0	0	
"Slovakia"	0	13	0	6	3	99	0	0	96	0	79	0	80	81	0	0	0	0	0	0	
"Viet Nam"	36	7	0	4	0	6	2	8	0	0	0	0	1	0	0	0	2	3	0	0	
"Slovenia"	0	0	0	0	0	0	0	0	16	0	0	82	0	0	70	0	5	44	37	0	
"Ukraine"	31	15	0	0	10	0	6	0	0	0	0	44	0	0	0	0	0	3	0	0	
"Macedonia, North"	0	2	0	5	2	0	2	0	0	0	0	0	0	6	0	0	4	0	0	0	
"Egypt"	0	0	0	78	0	0	0	0	0	0	0	76	0	0	70	0	0	0	72	0	
"Uzbekistan"	72	72	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Yemen"	0	0	0	267	2	0	0	0	0	0	0	0	0	0	382	183	0	0	0	0	
"Syrian Arab Republic"	96	0	0	114	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	
"Trinidad and Tobago"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"United Arab Emirates"	0	0	0	0	29	22	0	22	37	45	65	0	54	46	26	92	0	26	0	0	
"Russian Federation"	88	26	141	21	126	92	93	0	87	83	0	171	0	0	0	80	0	0	0	0	
"Sao Tome and Principe"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Sudan"	0	0	0	0	0	0	0	0	0	0	0	8	0	4	9	0	6	0	0	0	
"Sudan (before 2012)"	9	5	3	5	15	0	6	3	1	8	0	0	0	0	0	0	0	0	0	0	
"Jordan"	6	4	0	0	107	0	0	0	0	0	0	0	98	0	0	0	0	0	85	0	
"Israel"	0	6	59	3	6	15	0	12	0	8	0	1	2	0	10	10	0	0	28	0	
"Iran, Islamic Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	382	0	
"Hong Kong, China"	0	2	2	0	0	0	2	0	0	2	0	2	0	2	0	2	0	3	0	0	
"Iceland"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Gibraltar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Guinea"	41	0	0	0	0	0	0	0	0	0	0	0	0	0	59	50	0	0	0	0	
"Mauritius"	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	
"Mali"	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	17	0	
"Netherlands Antilles"	0	3	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	0	0	0	
"Curaçao"	0	0	0	0	0	0	0	0	0	0	2	13	6	11	23	5	5	9	13	0	
"Moldova, Republic of"	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	
"Libya, State of"	0	0	6	147	0	0	0	92	85	0	11	0	83	0	13	82	0	0	0	0	
"Luxembourg"	0	37	0	0	88	176	176	0	0	88	0	0	0	0	81	0	78	78	0	0	
"Kuwait"	0	0	0	193	0	553	0	0	0	0	0	0	5	0	5	0	0	0	0	0	
"Lebanon"	335	23	110	316	5	111	16	193	303	1	0	697	10	112	542	85	177	104	358	0	
"Latvia"	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	
"Bangladesh"	0	0	0	3	0	0	0	5	0	0	2	1	5	2	0	0	0	0	3	0	
"Barbados"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Azerbaijan"	0	0	0	0	0	0	0	0	19	3	3	7	0	0	0	0	0	0	0	0	
"Algeria"	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Comoros"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
"Congo"	3	0	11	1	3	117	3	7	0	0	16	0	4	1	7	0	0	2	7	0	
"Congo, Democratic Republic of the"	5	6	4	9	1	0	8	21	3	13	0	0	0	0	0	0	0	0	0	0	
"Croatia"	0	0	0	84	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Cuba"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Cyprus"	0	0	84	0	45	0	0	167	0	0	1	0	190	0	82	150	83	159	2	0	
"Czech Republic"	0	0	80	79	219	0	346	0	169	58	158	158	0	73	0	141	0	77	0	0	
"Finland"	0	0	0	0	5	30	0	8	0	0	13	0	0	0	0	0	0	0	0	0	
"Eritrea"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
"Gabon"	0	2	4	0	3	0	2	1	5	0	0	0	0	0	0	0	0	0	0	0	
"Georgia"	0	0	0	0	0	0	0	0	0	30	0	13	0	0	0	29	0	0	0	0	
"Gambia"	0	2	3	0	0	0	14	10	3	0	6	5	0	7	0	0	3	2	0	0	
"Canada"	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	
"Chile"	70	0	71	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	
"Dominican Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
