Importers	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	
"Syrian Arab Republic"	319	156	0	0	0	0	0	0	224	208	515	1180	198	858	0	449	0	0	0	259	
"Türkiye"	100	71	483	600	883	177	220	80	176	6	89	175	125	231	303	0	129	165	133	243	
"Austria"	213	630	489	469	644	535	893	458	104	576	120	28	161	527	883	264	263	1403	1274	226	
"Sweden"	63	235	181	254	320	456	576	245	306	256	356	231	258	296	201	303	282	281	201	193	
"Bulgaria"	61	65	5	385	229	638	420	77	3	133	160	140	92	38	158	0	0	336	333	147	
"Saudi Arabia"	306	82	254	97	541	390	325	129	406	494	117	359	209	4	142	8	187	170	9	145	
"Thailand"	7	0	0	0	48	119	179	60	208	61	60	61	0	0	0	62	0	62	0	127	
"Czech Republic"	11	13	293	233	167	92	122	108	78	81	247	216	467	88	115	249	116	243	395	119	
"Morocco"	249	774	120	59	0	0	0	0	0	164	0	0	0	0	0	0	0	352	452	115	
"Slovakia"	119	73	2	1	1	218	77	84	85	93	87	117	76	0	2	88	91	142	0	108	
"Serbia"	0	0	0	0	0	0	0	92	0	0	78	0	0	0	0	0	0	136	0	106	
"Cabo Verde"	0	69	0	10	0	88	0	0	0	0	5	90	0	0	105	3	0	0	0	102	
"Hong Kong, China"	5	15	6	11	0	91	16	17	16	2	50	7	0	2	19	63	48	76	44	99	
"Ireland"	3	3	1174	367	5	101	108	2	6	437	3	2	2	254	42	2	2	3	557	77	
"Malaysia"	0	1	0	8	0	0	41	0	0	0	342	0	0	0	0	0	0	0	0	63	
"Denmark"	118	199	42	558	283	140	508	439	479	278	137	1210	2062	1536	1510	810	1581	1580	1068	62	
"Taipei, Chinese"	0	188	298	234	0	104	53	22	335	235	373	570	209	312	96	0	375	530	202	48	
"Portugal"	34	35	38	19	16	32	7	17	124	15	24	45	20	15	441	155	556	287	269	39	
"Mali"	16	3	0	3	3	29	0	15	4	0	23	32	14	8	10	19	10	12	17	21	
"Central African Republic"	0	0	3	5	4	4	11	0	0	0	0	1	0	9	15	4	10	9	3	16	
"Afghanistan"	0	0	0	0	0	0	0	0	21	0	15	0	18	8	29	0	0	10	21	14	
"Maldives"	0	0	0	1	0	0	0	51	0	2	0	0	0	62	0	0	77	0	0	14	
"Korea, Republic of"	0	0	0	0	0	0	0	0	6	20	40	6	21	51	15	23	0	16	28	13	
"Mauritania"	8	0	0	0	0	13	12	18	0	14	0	0	12	0	0	31	0	0	26	13	
"Norway"	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	
"Slovenia"	12	42	44	0	131	4	0	62	105	5	9	0	8	191	9	136	14	0	14	11	
"Luxembourg"	2	2	9	0	13	0	11	0	0	3	3	4	4	0	1	2	0	0	3	11	
"Congo"	4	0	3	3	0	0	0	4	6	8	0	0	3	12	6	0	0	11	5	11	
"Suriname"	7	0	0	0	9	9	11	4	2	7	6	4	13	11	24	55	46	25	11	10	
"Curaçao"	11	7	3	15	31	15	17	7	14	30	19	16	17	10	12	26	9	32	21	8	
"Falkland Islands (Malvinas)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	
"Malta"	24	35	31	27	23	14	23	9	2	0	4	3	0	4	10	2	5	6	1	7	
"Aruba"	51	26	35	19	24	39	33	41	7	5	17	63	37	22	9	18	7	11	47	6	
"Bonaire, Sint Eustatius and Saba"	0	1	0	3	0	0	2	1	4	3	7	0	11	7	2	6	10	2	9	5	
"Nigeria"	3	36	0	36	5	7	0	3	0	0	11	10	1	0	12	4	12	2	4	5	
"Lebanon"	124	147	85	165	209	0	0	111	72	210	0	219	0	276	3	328	0	616	0	5	
"Guyana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
"Croatia"	0	60	0	0	0	6	0	2	0	0	0	0	1	1	0	0	0	2	2	2	
"Angola"	3	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	
"Israel"	92	5	0	74	77	31	190	6	0	137	4	0	47	4	0	0	2	0	0	1	
"Gambia"	0	27	7	6	2	1	5	2	12	2	3	4	3	7	0	2	25	13	15	1	
"Latvia"	0	0	0	0	0	0	11	0	0	1	0	92	95	0	0	0	0	7	0	1	
"Somalia"	3	1	0	0	1	0	1	0	0	0	0	3	0	1	0	1	0	2	0	1	
"South Africa"	56	56	0	0	0	0	0	0	3	0	78	0	79	80	90	0	0	0	39	0	
"Viet Nam"	0	0	0	0	0	0	0	0	16	15	4	1	40	0	32	0	0	34	26	0	
"Sierra Leone"	7	0	14	1	0	0	0	0	0	0	4	0	0	0	0	0	31	0	5	0	
"Senegal"	62	65	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"United Arab Emirates"	0	0	113	0	0	28	22	40	14	47	3	1	0	0	0	0	106	13	0	0	
"Tunisia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	392	0	0	0	
"Switzerland"	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	
"Sudan"	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	
"Pakistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Panama"	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
"Philippines"	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"New Zealand"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
"Nicaragua"	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Niger"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
"Mauritius"	52	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	
"Mexico"	0	84	0	21	0	44	0	0	0	0	0	0	0	0	45	0	0	0	0	0	
"Oman"	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	5	0	0	0	
"Uganda"	0	0	0	0	0	3	5	0	0	0	0	4	0	0	0	0	0	9	0	0	
"Macedonia, North"	58	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	
"Egypt"	207	140	0	207	129	0	0	0	0	0	0	0	133	0	0	110	212	0	0	0	
"Ship stores and bunkers"	0	0	2	0	0	0	0	0	1	1	7	4	12	21	62	94	40	20	2	0	
"Special categories"	13	8	69	8	10	0	8	7	0	0	0	0	5	0	0	0	0	0	0	0	
"United States of America"	1743	1338	1144	18	104	445	812	622	1230	1744	435	305	405	722	643	0	11	353	1130	0	
"Burkina Faso"	6	0	0	7	0	0	8	0	0	0	8	0	0	0	0	8	0	85	0	0	
"Uruguay"	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
"Liberia"	0	0	0	3	8	2	2	0	0	13	2	0	5	0	0	0	1	0	1	0	
"Libya, State of"	0	79	79	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lithuania"	2	214	57	160	56	1	12	22	1	165	2063	5	280	6	121	116	0	5	0	0	
"Côte d'Ivoire"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Jordan"	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Madagascar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kuwait"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	
"Iceland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Indonesia"	412	182	1225	94	853	214	1455	0	556	1992	2099	784	0	509	1496	953	1679	1377	2143	0	
"Iran, Islamic Republic of"	251	645	0	61	0	0	0	0	0	1527	3769	3626	0	0	0	1558	106	0	0	0	
"Iraq"	8	55	2	3	0	2	68	68	1	1	7	154	79	83	4	77	0	1	3	0	
"Haiti"	0	1	0	12	8	2	2	4	0	0	1	2	1	1	0	3	0	0	0	0	
"Guinea"	0	0	40	1	0	0	0	0	14	0	7	3	0	7	8	4	4	5	0	0	
"Georgia"	0	0	0	70	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Ghana"	0	2	33	0	10	0	12	7	1	25	2	0	9	5	2	0	0	5	0	0	
"Gibraltar"	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	
"Antigua and Barbuda"	0	1	0	0	0	2	3	4	3	3	4	0	0	0	0	0	1	6	14	0	
"Azerbaijan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
"Australia"	0	0	0	0	0	0	1	10	6	0	303	0	0	0	0	0	0	0	0	0	
"Algeria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Bahrain"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	
"Bangladesh"	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	
"Chad"	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	
"Chile"	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Cambodia"	2	8	0	5	0	0	4	0	16	0	2	3	0	3	0	0	0	0	0	0	
"Cameroon"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
"Canada"	0	1	2	0	2	4	0	0	3	7	0	0	7	0	0	0	2	2	0	0	
"Cuba"	0	40	24	12	0	25	0	0	0	42	0	39	29	0	46	0	0	0	88	0	
"Finland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	0	8	0	0	0	0	0	0	0	33	0	0	0	2	0	0	
"Bolivia, Plurinational State of"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Dominican Republic"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Equatorial Guinea"	15	10	0	10	0	1	14	12	3	0	0	11	1	1	0	5	7	3	7	0	
"Ethiopia"	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	5	0	0	
"Eritrea"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
"Estonia"	7	16	0	10	4	8	0	4	14	0	4	4	5	11	12	5	0	12	0	0	
